NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;;;;;;;;;;;;;
;CONTINUE;CONTINUER;FORTSETZEN;CONTINUAR;CONTINUA;CONTINUAR;ПРОДОЛЖИТЬ;KONTYNUUJ;コンティニュー;이어하기;继续;繼續;
;NEW GAME;NOUVELLE PARTIE;NEUES SPIEL;NUEVA PARTIDA;NUOVA PARTITA;NOVO JOGO;НОВАЯ ИГРА;NOWA GRA;ニューゲーム;새 게임;新游戏;新遊戲;
;SETTINGS;PARAMÈTRES;EINSTELLUNGEN;AJUSTES;IMPOSTAZIONI;AJUSTES;НАСТРОЙКИ;USTAWIENIA;せってい;설정;设置;設置;
;QUIT;QUITTER;BEENDEN;SALIR;ESCI;SAIR;ВЫЙТИ;WYJŚCIE;やめる;종료;退出;放棄;
;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;WIDOK MAPY;MAP VIEW;MAP VIEW;查看地图;MAP VIEW;
;NEW GAME+;NOUVELLE PARTIE +;NEUES SPIEL+;NUEVA PARTIDA+;NUOVA PARTITA+;NOVO JOGO+;НОВАЯ ИГРА+;NOWA GRA+;ニューゲーム+;새 게임+;新游戏+;新遊戲+;
;NORMAL;NORMAL;NORMAL;NORMAL;NORMALE;NORMAL;ОБЫЧНЫЙ;NORMALNY;ノーマルモード;일반;普通;標準模式;
;SECOND RUN;SECONDE ODYSSÉE;UND JETZT SCHNELL;SEGUNDO INTENTO;SECONDO GIRO;SEGUNDA VEZ;ВТОРОЙ ЗАБЕГ;DRUGA PRÓBA;ハードモード;하드 모드;二周目;難度提升;
;MARY'S MODE;MODE MARY;MARYS MODUS;MODO DE MARY;MODALITÀ MARY;MODO MARY;РЕЖИМ МЭРИ;TRYB MARY;マリーモード;메리 모드;玛丽模式;瑪麗模式;
;ON;OUI;EIN;SÍ;SÌ;SIM;ВКЛ;WŁ.;ON;끄기;开;開;
;OFF;NON;AUS;NO;NO;NÃO;ВЫКЛ;WYŁ.;OFF;켜기;关;關;
;NEW GAME;NOUVELLE PARTIE;NEUES SPIEL;NUEVA PARTIDA;NUOVA PARTITA;NOVO JOGO;НОВАЯ ИГРА;NOWA GRA;NEW GAME;새 게임;新游戏;新遊戲;
;FULL SCREEN;PLEIN ÉCRAN;VOLLBILD;PANTALLA COMPLETA;SCHERMO INTERO;TELA INTEIRA;НА ВЕСЬ ЭКРАН;PEŁNY EKRAN;FULL SCREEN;전체화면;全屏;全螢幕;
;TOGGLE BETWEEN WINDOWED AND FULL SCREEN#DRAG THE WINDOW TO RESIZE IT;PLEIN ÉCRAN OU AFFICHAGE FENÊTRÉ#FAITES GLISSER LE COIN DE LA FENÊTRE#POUR AJUSTER SA TAILLE;WECHSEL VON FENSTER- ZU VOLLBILD-MODUS#FENSTER ZUM SKALIEREN ZIEHEN;CAMBIA A VENTANA O PANTALLA COMPLETA#Y REDIMENSIONA ARRASTRANDO LA VENTANA;SCEGLI FRA FINESTRA E SCHERMO INTERO#FINESTRA: TRASCINA PER RIDIMENSIONARE;USE MODO DE JANELA OU TELA INTEIRA#ARRASTE A JANELA PARA REDIMENSIONAR;ВЫБЕРИ ОКОННЫЙ ИЛИ ПОЛНОЭКРАННЫЙ РЕЖИМ#ПОТЯНИ ОКНО, ЧТОБЫ ИЗМЕНИТЬ РАЗМЕР;WYBIERZ OKNO ALBO PEŁNY EKRAN#PRZECIĄGNIJ OKNO, BY ZMIENIĆ ROZMIAR;ウィンドウと がめんの ちょうせい#ウィンドウをドラッグして リサイズ;창모드 혹은 전체화면으로 전환합니다#창을 드래그하여 사이즈를 조절할 수 있습니다;在窗口和全屏间进行切换#拖动窗口能调整其大小;在視窗和全螢幕之間切換＃拖動視窗調整它的大小;
;DARKNESS;OBSCURITÉ;KONTRAST SCHWARZ;OSCURIDAD;CONTRASTO;ESCURIDÃO;ТЕМНОТА;CIEMNOŚĆ;DARKNESS;어둡기;暗度;暗度;
;SET THE DARKNESS OF THE BLACK;RÉGLER L'OBSCURITÉ DU NOIR;EINSTELLUNG DER SCHWARZ-TIEFE;AJUSTA LA OSCURIDAD DEL NEGRO;IMPOSTA INTENSITÀ NERO;DEFINA A PROFUNDIDADE DO PRETO;УСТАНОВИ НАСЫЩЕННОСТЬ ЧЕРНОГО;USTAW CIEMNOŚĆ CZERNI;くろさを ちょうせいする;검정색의 어두운 정도를 조절합니다;调整黑色区域的暗度;調整暗度;
;BRIGHTNESS;LUMINOSITÉ;KONTRAST WEISS;BRILLO;LUMINOSITÀ;BRILHO;ЯРКОСТЬ;JASNOŚĆ;BRIGHTNESS;밝기;亮度;亮度;
;SET THE BRIGHTNESS OF THE WHITE;RÉGLER LA LUMINOSITÉ DU BLANC;EINSTELLUNG DER WEISS-HELLIGKEIT;AJUSTA EL BRILLO DEL BLANCO;IMPOSTA LUMINOSITÀ BIANCO;DEFINA O BRILHO DO BRANCO;УСТАНОВИ НАСЫЩЕННОСТЬ БЕЛОГО;USTAW JASNOŚĆ BIELI;しろさを ちょうせいする;하얀색의 밝은 정도를 조절합니다;调整白色区域的亮度;調整亮度;
;MUSIC VOLUME;VOLUME MUSIQUE;MUSIK-LAUTSTÄRKE;VOLUMEN DE MÚSICA;VOLUME MUSICA;VOLUME MÚSICA;ГРОМКОСТЬ МУЗЫКИ;GŁOŚNOŚĆ MUZYKI;MUSIC VOLUME;음악 음량;音乐音量;音樂音量;
;SET THE MUSIC VOLUME;RÉGLER LE VOLUME DE LA MUSIQUE;EINSTELLUNG DER MUSIK-LAUTSTÄRKE;AJUSTA EL VOLUMEN DE LA MÚSICA;IMPOSTA VOLUME MUSICA;DEFINA O VOLUME#DA MÚSICA;УСТАНОВИ ГРОМКОСТЬ МУЗЫКИ;USTAW GŁOŚNOŚĆ MUZYKI;おんりょうを せっていする;음악 음량을 조절합니다;设置音乐音量;設置音樂音量;
;MASTER VOLUME;VOLUME GÉNÉRAL;MASTER-LAUTSTÄRKE;VOLUMEN GENERAL;VOLUME PRINCIPALE;VOLUME GERAL;ОБЩАЯ ГРОМКОСТЬ;OGÓLNA GŁOŚN.;MASTER VOLUME;전체 음량;总音量;總音量;
;SET THE MASTER VOLUME OF ALL AUDIO;RÉGLER LE VOLUME GÉNÉRAL#POUR TOUS LES SONS;EINSTELLUNG DER GESAMTLAUTSTÄRKE;AJUSTA EL VOLUMEN GENERAL;IMPOSTA VOLUME GLOBALE;DEFINA O VOLUME#GERAL DE TODO ÁUDIO;УСТАНОВИ ОБЩУЮ ГРОМКОСТЬ ВСЕГО АУДИО;USTAW GŁOŚNOŚĆ WSZYSTKICH DŹWIĘKÓW;マスターボリュームを せっていする;모든 오디오의 전체 음량을 조절합니다;调整所有音频的音量;設置總音量;
;FREEZE FRAMES;DÉLAI ATTAQUE;STOPP-FRAMES;CONGELAR IMÁGENES;FERMO IMMAGINE;CONGELAR IMAGEM;СТОП-КАДР;ZATRZ. KLATKI;FREEZE FRAMES;멈춤 효과;冻结帧;冻结帧;
;TOGGLE FREEZE FRAMES;FIGER BRIÈVEMENT IMAGES#AVANT ET APRÈS ATTAQUE;STOPP-FRAMES EIN/AUS;CONGELAR IMÁGENES SÍ/NO;ATT./DISATT. FERMO IMMAGINE;ATIVE/DESATIVE O#CONGELAMENTO DE IMAGEM;ВКЛЮЧИ ИЛИ ВЫКЛЮЧИ СТОП-КАДР;WŁĄCZ ZATRZYMANIE KLATKI;コマおくりを ちょうせいする;공격 시 발생하는 멈충 효과를 전환합니다;开关冻结帧;开关冻结帧;
;SCREEN SHAKE;TREMBLEM. ÉCRAN;BILDBEBEN;VIBRACIÓN DE PANTALLA;TREMOLIO SCHERMO;TREMER TELA;ТРЯСКА ЭКРАНА;WSTRZĄSY EKR.;SCREEN SHAKE;화면 흔들림;屏幕抖动;螢幕抖動;
;SET THE AMOUNT OF SCREEN SHAKE;RÉGLER L'INTENSITÉ#DES TREMBLEMENTS D'ÉCRAN;EINSTELLUNG DER STÄRKE DES BILDBEBENS;AJUSTA LA VIBRACIÓN DE PANTALLA;IMPOSTA TREMOLIO SCHERMO;DEFINA O QUANTO A TELA#DEVE TREMER;УСТАНОВИ СТЕПЕНЬ ТРЯСКИ ЭКРАНА;OKREŚL WSPÓŁCZYNNIK WSTRZĄSÓW EKRANU;がめんのゆれを せっていする;화면이 흔들리는 정도를 조절합니다;设置屏幕抖动次数;設置螢幕抖動次數;
;CONTROLS;COMMANDES;STEUERUNG;CONTROLES;COMANDI;CONTROLES;УПРАВЛЕНИЕ;STEROWANIE;CONTROLS;조작;控制;控制;
;CHANGE THE CONTROLS;MODIFIER LES COMMANDES;ANPASSUNG DER STEUERUNG;CAMBIA LOS CONTROLES;MODIFICA COMANDI;MUDE OS CONTROLES;СМЕНИ УПРАВЛЕНИЕ;ZMIEŃ STEROWANIE;そうさを へんこうする;조작을 변경합니다;更改控制按键;改變控制;
;LANGUAGE;LANGUE;SPRACHE;IDIOMA;LINGUA;IDIOMA;ЯЗЫК;JĘZYK;LANGUAGE;언어;语言;語言;
;CHANGE THE LANGUAGE;CHANGER LA LANGUE;AUSWAHL DER SPRACHE;CAMBIA DE IDIOMA;CAMBIA LINGUA;MUDE O IDIOMA;ПОМЕНЯЙ ЯЗЫК;ZMIEŃ JĘZYK;げんごを へんこうする;언어를 변경합니다;更改语言;更改語言;
;VEGAN;VÉGÉTARIEN;VEGAN;VEGANA;VEGANO;VEGANO;ВЕГАН;WEGAŃSKI;VEGAN;채식;纯素主义者;素食;
;CHANGE DIETARY PREFERENCES;MODIFIER LES PRÉFÉRENCES ALIMENTAIRES;AUSWAHL DER ESSENSWÜNSCHE;CAMBIAR TIPO DE DIETA;CAMBIA PREFERENZE ALIMENTARI;MUDE AS PREFERÊNCIAS#ALIMENTARES;СМЕНИ ДИЕТИЧЕСКИЕ ПРЕДПОЧТЕНИЯ;ZMIEŃ PREFERENCJE ŻYWIENIOWE;しょくじモードを へんこうする;식사 취향을 변경합니다;更改饮食偏好;更改飲食偏好;
;RESET;RÉINITIALISER;ZURÜCKSETZEN;RESTABLECER;RIPRISTINA;REDEFINIR;СБРОС;RESETUJ;RESET;초기화;重置;重置;
;RESET TO DEFAULT SETTINGS;REVENIR AUX PARAMÈTRES PAR DÉFAUT;EINSTELLUNGEN AUF VORGABE SETZEN;RESTABLECER AJUSTES POR DEFECTO;RIPRISTINA IMPOST. PREDEF.;RESTAURE AS OPÇÕES PADRÃO;УСТАНОВИ НАСТРОЙКИ ПО УМОЛЧАНИЮ;PRZYWRÓĆ UST. DOMYŚLNE;デフォルトの せっていに もどす;기본 설정으로 초기화합니다;恢复为默认设置;恢復默認設置;
;;;;;;;;;;;;;
;RESET;RÉINITIALISER;ZURÜCKSETZEN;RESTABLECER;RIPRISTINA;REDEFINIR;СБРОС;RESETUJ;RESET;초기화;重置;重置;
;RESET TO DEFAULT CONTROLS;REVENIR AUX COMMANDES PAR DÉFAUT;STEUERUNG AUF VORGABE SETZEN;RESTABLECER CONTROLES POR DEFECTO;RIPRISTINA COMANDI PREDEF.;RESTAURE OS CONTROLES#PADRÃO;УСТАНОВИ УПРАВЛЕНИЕ ПО УМОЛЧАНИЮ;PRZYWRÓĆ STER. DOMYŚLNE;デフォルトの そうさに もどす;기본 조작으로 초기화합니다;恢复为默认设置;恢復默認設置;
;UP;HAUT;HOCH;ARRIBA;SU;CIMA;ВВЕРХ;GÓRA;UP;상;上;上;
;MOVE UP;MONTER;NACH OBEN BEWEGEN;IR ARRIBA;VAI SU;IR PARA#CIMA;ДВИГАТЬСЯ ВВЕРХ;RUCH W GÓRĘ;うえへ すすむ;이동: 상;向上移动;向上移動;
;DOWN;BAS;RUNTER;ABAJO;GIÙ;BAIXO;ВНИЗ;DÓŁ;DOWN;하;下;下;
;MOVE DOWN;DESCENDRE;NACH UNTEN BEWEGEN;IR ABAJO;VAI GIÙ;IR PARA#BAIXO;ДВИГАТЬСЯ ВНИЗ;RUCH W DÓŁ;したへ すすむ;이동: 하;向下移动;向下移動;
;RIGHT;DROITE;RECHTS;DERECHA;DESTRA;DIR.;ВПРАВО;PRAWO;RIGHT;우;右;右;
;MOVE RIGHT;ALLER À DROITE;NACH RECHTS BEWEGEN;IR A LA DERECHA;VAI A DESTRA;IR PARA#DIREITA;ДВИГАТЬСЯ ВПРАВО;RUCH W PRAWO;みぎへ すすむ;이동: 우;向右移动;向右移動;
;LEFT;GAUCHE;LINKS;IZQUIERDA;SINISTRA;ESQ.;ВЛЕВО;LEWO;LEFT;좌;左;左;
;MOVE LEFT;ALLER À GAUCHE;NACH LINKS BEWEGEN;IR A LA IZQUIERDA;VAI A SINISTRA;IR PARA#ESQUERDA;ДВИГАТЬСЯ ВЛЕВО;RUCH W LEWO;ひだりへ すすむ;이동: 좌;向左移动;向左移動;
;USE;UTILISER;BENUTZEN;USAR;USA;USAR;ИСПОЛЬЗОВАТЬ;UŻYJ;USE;사용;使用;使用;
;USE ITEM/CONFIRM;UTILISER OBJET/CONFIRMER;GEGENSTAND BENUTZEN/BESTÄTIGEN;USAR OBJETO/CONFIRMAR;USA OGGETTO/CONFERMA;USAR ITEM/#CONFIRMAR;ИСПОЛЬЗОВАТЬ ПРЕДМЕТ/ПОДТВЕРДИТЬ;UŻYJ/POTWIERDŹ;アイテムをつかう/OK;아이템 사용/확인;使用物品/确认;使用物品;
;RETRY;NOUVELLE VIE;WIEDERHOLEN;REINTENTAR;RIPROVA;REPETIR;ЗАНОВО;PONÓW;RETRY;재시도;重来;重試;
;RETRY/BACK;NOUVELLE VIE/RETOUR;WIEDERHOLEN/ZURÜCK;REINTENTAR/ATRÁS;RIPROVA/INDIETRO;REPETIR/#VOLTAR;ЗАНОВО/НАЗАД;PONÓW/POWRÓT;リトライ/もどる;재시도/뒤로;重来/返回;重試/返回;
;PAUSE;PAUSE;PAUSE;PAUSA;PAUSA;PAUSA;ПАУЗА;PAUZA;PAUSE;일시 정지;暂停;暫停;
;PAUSE MENU;MENU PAUSE;PAUSENMENÜ;MENÚ DE PAUSA;MENU PAUSA;MENU DE PAUSA;МЕНЮ ПАУЗЫ;MENU PAUZY;いちじていし;일시 정지 메뉴;暂停菜单;暫停菜單;
;DEFAULT:;PAR DÉFAUT :;VORGABE:;PREDETERMINADO:;PREDEFINITO:;PADRÃO:;ПО УМОЛЧАНИЮ:;DOMYŚLNY:;しょきせってい：;기본:;默认：;默認;
